var,mean,sd,state
mu_b0,0.064,0.121,
a_offset[0],0.947,1.674,Pennsylvania
a_offset[1],-0.102,1.687,Wisconsin
a_offset[2],0.505,1.681,Michigan
a_offset[3],2.496,1.715,Georgia
a_offset[4],1.748,1.719,North Carolina
a_offset[5],2.107,1.719,Arizona
a_offset[6],0.867,1.784,Nevada
a_offset[7],5.023,1.958,Florida
a_offset[8],-1.668,1.947,Virginia
a_offset[9],5.882,2.067,Texas
a_offset[10],6.616,2.217,Ohio
a_offset[11],-2.741,2.214,Minnesota
a_offset[12],-14.225,2.769,California
a_offset[13],-2.339,2.361,New Hampshire
a_offset[14],-18.5,3.087,Maryland
a_offset[15],12.34,2.894,Montana
a_offset[16],-3.473,2.615,New Mexico
a_offset[17],-10.506,2.916,Washington
a_offset[18],-4.215,2.757,NE-2
a_offset[19],-7.817,2.825,New York
a_offset[20],15.139,3.281,Utah
a_offset[21],12.388,2.979,Nebraska
a_offset[22],-17.263,3.459,Massachusetts
a_offset[23],9.582,3.03,Missouri
a_offset[24],2.105,3.15,ME-2
a_offset[25],-9.704,3.378,Rhode Island
a_offset[26],-14.305,3.557,ME-1
a_offset[27],-5.732,3.258,Maine
a_offset[28],6.478,3.12,Alaska
a_offset[29],10.016,3.425,Indiana
a_offset[30],16.023,3.71,Tennessee
a_offset[31],-3.925,3.835,Oregon
a_offset[32],-6.115,3.903,Colorado
a_offset[33],-21.408,4.829,Vermont
a_offset[34],-6.936,4.388,Illinois
a_offset[35],3.812,4.386,Iowa
a_offset[36],8.93,4.25,South Carolina
a_offset[37],11.985,4.409,North Dakota
a_offset[38],-9.798,4.211,Delaware
a_offset[39],13.938,5.678,West Virginia
a_offset[40],8.306,5.483,Arkansas
a_offset[41],8.553,5.579,Oklahoma
a_offset[42],-7.253,5.456,Connecticut
a_offset[43],-3.692,5.43,New Jersey
Live Phone,0.047,0.031,
Online Panel,0.024,0.031,
Other,0.043,0.029,
month,-0.005,0.003,
rep_poll,0.02,0.026,
sample_size,-0.0,0.01,
MultiCandidate,-0.011,0.012,
lv,0.049,0.038,
rv,0.046,0.038,
grade,-0.006,0.015,
phi,104.624,0.968,
sigma_b0,0.031,0.004,
A[0],60.199,2.648,
A[1],54.384,2.688,
A[2],58.623,1.88,
A[3],57.512,1.623,
A[4],54.429,1.04,
A[5],54.733,1.038,
A[6],53.149,1.022,
A[7],53.439,1.069,
A[8],53.503,0.983,
A[9],52.665,1.013,
A[10],54.492,1.043,
A[11],54.796,1.04,
A[12],53.212,1.022,
A[13],53.502,1.071,
A[14],53.566,0.987,
A[15],52.728,1.017,
A[16],41.339,1.511,
A[17],56.516,1.273,
A[18],52.918,0.817,
A[19],53.558,0.921,
A[20],54.156,0.88,
A[21],52.856,0.932,
A[22],53.845,0.892,
A[23],52.08,0.866,
A[24],56.764,1.33,
A[25],53.17,0.841,
A[26],53.48,0.824,
A[27],51.913,0.8,
A[28],52.259,0.881,
A[29],52.903,0.862,
A[30],52.238,0.778,
A[31],51.428,0.799,
A[32],48.982,1.338,
A[33],51.852,0.826,
A[34],52.405,0.746,
A[35],52.468,0.719,
A[36],50.367,1.096,
A[37],50.429,1.085,
A[38],52.106,0.756,
A[39],52.169,0.734,
A[40],50.068,1.113,
A[41],50.131,1.104,
A[42],53.619,0.739,
A[43],42.855,1.759,
A[44],55.637,0.944,
A[45],50.184,1.047,
A[46],53.594,0.764,
A[47],53.678,0.751,
A[48],53.295,0.776,
A[49],53.379,0.767,
A[50],53.663,0.79,
A[51],53.733,0.777,
A[52],53.365,0.8,
A[53],53.434,0.791,
A[54],50.273,1.047,
A[55],50.353,1.044,
A[56],49.975,1.065,
A[57],50.054,1.064,
A[58],50.347,1.068,
A[59],50.418,1.066,
A[60],50.048,1.084,
A[61],50.119,1.084,
A[62],52.381,0.665,
A[63],52.319,0.796,
A[64],53.309,0.739,
A[65],52.219,0.774,
A[66],51.862,0.806,
A[67],52.081,0.712,
A[68],51.731,0.755,
A[69],51.248,0.749,
A[70],45.477,1.831,
A[71],49.439,1.537,
A[72],53.677,0.804,
A[73],53.452,0.831,
A[74],52.18,0.816,
A[75],52.538,0.792,
A[76],51.698,0.808,
A[77],52.451,0.689,
A[78],53.12,0.815,
A[79],52.87,0.868,
A[80],53.712,0.766,
A[81],53.414,0.781,
A[82],52.69,0.811,
A[83],53.246,0.758,
A[84],53.556,0.759,
A[85],51.967,0.739,
A[86],51.47,0.729,
A[87],52.306,0.685,
A[88],52.947,0.765,
A[89],53.258,0.772,
A[90],51.668,0.752,
A[91],51.171,0.745,
A[92],52.007,0.696,
A[93],46.607,2.317,
A[94],46.902,2.327,
A[95],48.973,1.517,
A[96],49.271,1.532,
A[97],48.602,1.468,
A[98],52.742,0.789,
A[99],55.057,0.966,
A[100],52.896,0.781,
A[101],51.463,0.747,
A[102],48.882,1.298,
A[103],51.77,0.841,
A[104],52.436,0.801,
A[105],51.734,0.717,
A[106],50.973,0.752,
A[107],52.041,0.833,
A[108],43.226,1.782,
A[109],52.566,0.974,
A[110],52.318,0.686,
A[111],52.019,0.697,
A[112],48.98,1.316,
A[113],51.124,0.756,
A[114],51.423,0.739,
A[115],51.965,0.699,
A[116],52.263,0.686,
A[117],49.016,1.365,
A[118],49.314,1.354,
A[119],51.619,0.762,
A[120],51.918,0.748,
A[121],53.625,0.773,
A[122],40.12,1.354,
A[123],39.883,1.356,
A[124],55.643,0.945,
A[125],52.129,0.693,
A[126],39.93,1.343,
A[127],52.61,0.802,
A[128],52.922,0.795,
A[129],51.355,0.767,
A[130],51.702,0.862,
A[131],52.345,0.826,
A[132],51.682,0.743,
A[133],50.869,0.767,
A[134],52.909,0.813,
A[135],53.221,0.799,
A[136],51.653,0.774,
A[137],52.001,0.863,
A[138],52.644,0.834,
A[139],51.981,0.752,
A[140],51.168,0.771,
A[141],53.447,0.83,
A[142],52.517,0.785,
A[143],53.747,0.835,
A[144],48.773,2.906,
A[145],48.477,2.906,
A[146],49.644,1.513,
A[147],49.346,1.489,
A[148],52.388,0.707,
A[149],53.56,0.819,
A[150],52.282,0.798,
A[151],52.571,0.868,
A[152],52.633,0.782,
A[153],51.795,0.795,
A[154],56.916,1.309,
A[155],57.212,1.295,
A[156],53.617,0.739,
A[157],52.985,0.879,
A[158],52.686,0.907,
A[159],52.256,0.75,
A[160],45.292,1.821,
A[161],45.0,1.827,
A[162],52.599,0.776,
A[163],54.834,0.946,
A[164],52.779,0.767,
A[165],51.273,0.729,
A[166],48.739,1.292,
A[167],51.632,0.834,
A[168],48.159,1.749,
